fy.year,age_range_description,ageWise_salary_percentile,AverageWage
2015-16,under 20,1,526
2015-16,under 20,2,526
2015-16,under 20,3,526
2015-16,under 20,4,853.6
2015-16,under 20,5,1302
2015-16,under 20,6,1531.47
2015-16,under 20,7,1758.07
2015-16,under 20,8,2011.94
2015-16,under 20,9,2249.6
2015-16,under 20,10,2479.21
2015-16,under 20,11,2688.92
2015-16,under 20,12,2918.31
2015-16,under 20,13,3183.33
2015-16,under 20,14,3431.92
2015-16,under 20,15,3683.89
2015-16,under 20,16,3909.7
2015-16,under 20,17,4101
2015-16,under 20,18,4364.6
2015-16,under 20,19,4584.93
2015-16,under 20,20,4824.12
2015-16,under 20,21,5049.7
2015-16,under 20,22,5292.2
2015-16,under 20,23,5512.94
2015-16,under 20,24,5712.08
2015-16,under 20,25,5935.06
2015-16,under 20,26,6208.01
2015-16,under 20,27,6447.33
2015-16,under 20,28,6681.02
2015-16,under 20,29,6919.75
2015-16,under 20,30,7156.04
2015-16,under 20,31,7436.82
2015-16,under 20,32,7698.65
2015-16,under 20,33,7948.58
2015-16,under 20,34,8201.77
2015-16,under 20,35,8446.16
2015-16,under 20,36,8672.71
2015-16,under 20,37,8908.87
2015-16,under 20,38,9140.23
2015-16,under 20,39,9381.27
2015-16,under 20,40,9623.5
2015-16,under 20,41,9867.55
2015-16,under 20,42,10097.07
2015-16,under 20,43,10344.1
2015-16,under 20,44,10628.36
2015-16,under 20,45,10884.41
2015-16,under 20,46,11151.64
2015-16,under 20,47,11416.33
2015-16,under 20,48,11703.1
2015-16,under 20,49,11948.9
2015-16,under 20,50,12222.06
2015-16,under 20,51,12555.07
2015-16,under 20,52,12832.82
2015-16,under 20,53,13146.27
2015-16,under 20,54,13503.53
2015-16,under 20,55,13805.74
2015-16,under 20,56,14137.24
2015-16,under 20,57,14454.78
2015-16,under 20,58,14762.93
2015-16,under 20,59,15034.64
2015-16,under 20,60,15329.32
2015-16,under 20,61,15645.54
2015-16,under 20,62,15996.1
2015-16,under 20,63,16319.73
2015-16,under 20,64,16664.58
2015-16,under 20,65,17069.5
2015-16,under 20,66,17453.92
2015-16,under 20,67,17867.08
2015-16,under 20,68,18248.89
2015-16,under 20,69,18606
2015-16,under 20,70,18988.74
2015-16,under 20,71,19345.45
2015-16,under 20,72,19751.71
2015-16,under 20,73,20130.47
2015-16,under 20,74,20554.04
2015-16,under 20,75,21065.77
2015-16,under 20,76,21505.34
2015-16,under 20,77,21898.78
2015-16,under 20,78,22319.29
2015-16,under 20,79,22796.27
2015-16,under 20,80,23385.07
2015-16,under 20,81,24035.82
2015-16,under 20,82,24566.52
2015-16,under 20,83,25245.77
2015-16,under 20,84,25862.27
2015-16,under 20,85,26516.82
2015-16,under 20,86,27333.37
2015-16,under 20,87,28089.14
2015-16,under 20,88,28882.54
2015-16,under 20,89,29755.48
2015-16,under 20,90,30694.62
2015-16,under 20,91,31751.88
2015-16,under 20,92,32831.76
2015-16,under 20,93,33935.52
2015-16,under 20,94,35133.78
2015-16,under 20,95,36553.78
2015-16,under 20,96,38351.2
2015-16,under 20,97,40924.46
2015-16,under 20,98,44530.2
2015-16,under 20,99,50168.84
2015-16,under 20,100,63067.5
2015-16,20 to 24,1,528.1
2015-16,20 to 24,2,1449.61
2015-16,20 to 24,3,2235.3
2015-16,20 to 24,4,2969.78
2015-16,20 to 24,5,3666.66
2015-16,20 to 24,6,4343.94
2015-16,20 to 24,7,4985.4
2015-16,20 to 24,8,5567.14
2015-16,20 to 24,9,6185.31
2015-16,20 to 24,10,6831.93
2015-16,20 to 24,11,7449.34
2015-16,20 to 24,12,8142.24
2015-16,20 to 24,13,8760.89
2015-16,20 to 24,14,9317.95
2015-16,20 to 24,15,9908.89
2015-16,20 to 24,16,10501.01
2015-16,20 to 24,17,11027.37
2015-16,20 to 24,18,11566.06
2015-16,20 to 24,19,12141.4
2015-16,20 to 24,20,12646.05
2015-16,20 to 24,21,13179.85
2015-16,20 to 24,22,13734.75
2015-16,20 to 24,23,14298.79
2015-16,20 to 24,24,14847.59
2015-16,20 to 24,25,15399.94
2015-16,20 to 24,26,15962.59
2015-16,20 to 24,27,16492.15
2015-16,20 to 24,28,17026.83
2015-16,20 to 24,29,17590.38
2015-16,20 to 24,30,18127.63
2015-16,20 to 24,31,18602.47
2015-16,20 to 24,32,19125.7
2015-16,20 to 24,33,19653.72
2015-16,20 to 24,34,20181.81
2015-16,20 to 24,35,20762.75
2015-16,20 to 24,36,21289.82
2015-16,20 to 24,37,21777.12
2015-16,20 to 24,38,22293.08
2015-16,20 to 24,39,22802.78
2015-16,20 to 24,40,23364.07
2015-16,20 to 24,41,23896.35
2015-16,20 to 24,42,24422.33
2015-16,20 to 24,43,24986.13
2015-16,20 to 24,44,25496.72
2015-16,20 to 24,45,26050.96
2015-16,20 to 24,46,26636
2015-16,20 to 24,47,27188.88
2015-16,20 to 24,48,27725.45
2015-16,20 to 24,49,28266.77
2015-16,20 to 24,50,28873.33
2015-16,20 to 24,51,29468.94
2015-16,20 to 24,52,30058.31
2015-16,20 to 24,53,30599.81
2015-16,20 to 24,54,31173.84
2015-16,20 to 24,55,31736.85
2015-16,20 to 24,56,32333.12
2015-16,20 to 24,57,32955.41
2015-16,20 to 24,58,33536.12
2015-16,20 to 24,59,34170.74
2015-16,20 to 24,60,34768.78
2015-16,20 to 24,61,35375.67
2015-16,20 to 24,62,35924.17
2015-16,20 to 24,63,36491.57
2015-16,20 to 24,64,37004.49
2015-16,20 to 24,65,37590.96
2015-16,20 to 24,66,38186.9
2015-16,20 to 24,67,38797.65
2015-16,20 to 24,68,39387.67
2015-16,20 to 24,69,39978.05
2015-16,20 to 24,70,40571.88
2015-16,20 to 24,71,41201.66
2015-16,20 to 24,72,41861.88
2015-16,20 to 24,73,42477.48
2015-16,20 to 24,74,43108.5
2015-16,20 to 24,75,43720.17
2015-16,20 to 24,76,44397.79
2015-16,20 to 24,77,45088.09
2015-16,20 to 24,78,45818.55
2015-16,20 to 24,79,46598.63
2015-16,20 to 24,80,47359.59
2015-16,20 to 24,81,48243.57
2015-16,20 to 24,82,49070.33
2015-16,20 to 24,83,49914.45
2015-16,20 to 24,84,50819.35
2015-16,20 to 24,85,51839.44
2015-16,20 to 24,86,52966.64
2015-16,20 to 24,87,54222.28
2015-16,20 to 24,88,55547.91
2015-16,20 to 24,89,56966.88
2015-16,20 to 24,90,58566.21
2015-16,20 to 24,91,60251.97
2015-16,20 to 24,92,62113.07
2015-16,20 to 24,93,63939.38
2015-16,20 to 24,94,66064.43
2015-16,20 to 24,95,68582.45
2015-16,20 to 24,96,71735.5
2015-16,20 to 24,97,75621.64
2015-16,20 to 24,98,81735.65
2015-16,20 to 24,99,92954.89
2015-16,20 to 24,100,131967.15
2015-16,25 to 29,1,641.46
2015-16,25 to 29,2,1808.84
2015-16,25 to 29,3,2905.61
2015-16,25 to 29,4,3983.33
2015-16,25 to 29,5,5165.82
2015-16,25 to 29,6,6238.1
2015-16,25 to 29,7,7242.18
2015-16,25 to 29,8,8299.34
2015-16,25 to 29,9,9456.36
2015-16,25 to 29,10,10531.27
2015-16,25 to 29,11,11519.44
2015-16,25 to 29,12,12491.42
2015-16,25 to 29,13,13536.03
2015-16,25 to 29,14,14629.87
2015-16,25 to 29,15,15684.54
2015-16,25 to 29,16,16742.12
2015-16,25 to 29,17,17661.71
2015-16,25 to 29,18,18641.07
2015-16,25 to 29,19,19656.56
2015-16,25 to 29,20,20647.55
2015-16,25 to 29,21,21567.99
2015-16,25 to 29,22,22463.89
2015-16,25 to 29,23,23379.72
2015-16,25 to 29,24,24350.26
2015-16,25 to 29,25,25278.22
2015-16,25 to 29,26,26259.16
2015-16,25 to 29,27,27196.89
2015-16,25 to 29,28,28172.4
2015-16,25 to 29,29,29016.42
2015-16,25 to 29,30,29905.81
2015-16,25 to 29,31,30829.16
2015-16,25 to 29,32,31714.87
2015-16,25 to 29,33,32619.12
2015-16,25 to 29,34,33543.55
2015-16,25 to 29,35,34476.19
2015-16,25 to 29,36,35364.91
2015-16,25 to 29,37,36245.17
2015-16,25 to 29,38,37057.41
2015-16,25 to 29,39,37963.54
2015-16,25 to 29,40,38740.03
2015-16,25 to 29,41,39515.13
2015-16,25 to 29,42,40293.66
2015-16,25 to 29,43,41019.44
2015-16,25 to 29,44,41750.9
2015-16,25 to 29,45,42482.28
2015-16,25 to 29,46,43212.94
2015-16,25 to 29,47,43874.7
2015-16,25 to 29,48,44575.52
